月份,行业,新增数量
201101,公共管理、社会保障和社会组织,
201012,公共管理、社会保障和社会组织,
201011,公共管理、社会保障和社会组织,1
201010,公共管理、社会保障和社会组织,
201009,公共管理、社会保障和社会组织,
201008,公共管理、社会保障和社会组织,
201007,公共管理、社会保障和社会组织,1
201006,公共管理、社会保障和社会组织,
201005,公共管理、社会保障和社会组织,
201004,公共管理、社会保障和社会组织,
201003,公共管理、社会保障和社会组织,
201002,公共管理、社会保障和社会组织,2
201001,公共管理、社会保障和社会组织,
201709,国际组织,4
201708,国际组织,58
201707,国际组织,57
201706,国际组织,52
201705,国际组织,39
201704,国际组织,11
201703,国际组织,1
201702,国际组织,2
201701,国际组织,5
201612,国际组织,12
201611,国际组织,3
201610,国际组织,9
201609,国际组织,12
201608,国际组织,6
201607,国际组织,7
201606,国际组织,5
201605,国际组织,7
201604,国际组织,3
201603,国际组织,2
201602,国际组织,
201601,国际组织,1
201512,国际组织,2
201511,国际组织,2
201510,国际组织,
201509,国际组织,
201508,国际组织,1
201507,国际组织,2
201506,国际组织,
201505,国际组织,1
201504,国际组织,3
201503,国际组织,1
201502,国际组织,1
201501,国际组织,1
201412,国际组织,4
201411,国际组织,1
201410,国际组织,
201409,国际组织,1
201408,国际组织,
201407,国际组织,
201406,国际组织,
201405,国际组织,1
201404,国际组织,1
201403,国际组织,3
201402,国际组织,1
201401,国际组织,1
201312,国际组织,1
201311,国际组织,1
201310,国际组织,
201309,国际组织,1
201308,国际组织,
201307,国际组织,
201306,国际组织,
201305,国际组织,
201304,国际组织,
201303,国际组织,
201302,国际组织,
201301,国际组织,
201212,国际组织,
201211,国际组织,
201210,国际组织,
201209,国际组织,
201208,国际组织,
201207,国际组织,
201206,国际组织,
201205,国际组织,
201204,国际组织,
201203,国际组织,
201202,国际组织,
201201,国际组织,
201112,国际组织,
201111,国际组织,
201110,国际组织,
201109,国际组织,
201108,国际组织,
201107,国际组织,
201106,国际组织,1
201105,国际组织,
201104,国际组织,
201103,国际组织,
201102,国际组织,
201101,国际组织,
201012,国际组织,
201011,国际组织,
201010,国际组织,
201009,国际组织,
201008,国际组织,
201007,国际组织,
201006,国际组织,
201005,国际组织,
201004,国际组织,
201003,国际组织,
201002,国际组织,
201001,国际组织,
201709,建筑业,1255
201708,建筑业,3709
201707,建筑业,3573
201706,建筑业,4091
201705,建筑业,3976
201704,建筑业,3881
201703,建筑业,4838
201702,建筑业,1990
201701,建筑业,2454
201612,建筑业,3327
201611,建筑业,3037
201610,建筑业,2472
201609,建筑业,3203
201608,建筑业,3289
201607,建筑业,3140
201606,建筑业,3353
201605,建筑业,3257
201604,建筑业,2936
201603,建筑业,3035
201602,建筑业,907
201601,建筑业,2119
201512,建筑业,2550
201511,建筑业,2106
201510,建筑业,1740
201509,建筑业,2043
201508,建筑业,1913
201507,建筑业,2335
201506,建筑业,2065
201505,建筑业,2077
201504,建筑业,2411
201503,建筑业,1768
201502,建筑业,951
201501,建筑业,1821
201412,建筑业,1934
201411,建筑业,1773
201410,建筑业,1412
201409,建筑业,1689
201408,建筑业,1634
201407,建筑业,1964
201406,建筑业,1902
201405,建筑业,1862
201404,建筑业,2017
201403,建筑业,1812
201402,建筑业,732
201401,建筑业,1203
201312,建筑业,1385
201311,建筑业,1339
201310,建筑业,1156
201309,建筑业,1242
201308,建筑业,1313
201307,建筑业,1347
201306,建筑业,1277
201305,建筑业,1315
201304,建筑业,1408
201303,建筑业,1124
201302,建筑业,258
201301,建筑业,802
201212,建筑业,718
201211,建筑业,846
201210,建筑业,586
201209,建筑业,746
201208,建筑业,878
201207,建筑业,838
201206,建筑业,766
201205,建筑业,877
201204,建筑业,780
201203,建筑业,964
201202,建筑业,556
201201,建筑业,360
201112,建筑业,718
201111,建筑业,727
201110,建筑业,580
201109,建筑业,704
201108,建筑业,853
201107,建筑业,790
201106,建筑业,831
201105,建筑业,891
201104,建筑业,932
201103,建筑业,945
201102,建筑业,249
201101,建筑业,696
201012,建筑业,661
201011,建筑业,783
201010,建筑业,492
201009,建筑业,744
201008,建筑业,695
201007,建筑业,759
201006,建筑业,772
201005,建筑业,771
201004,建筑业,825
201003,建筑业,773
201002,建筑业,275
201001,建筑业,603
201709,交通运输、仓储和邮政业,337
201708,交通运输、仓储和邮政业,1407
201707,交通运输、仓储和邮政业,1467
201706,交通运输、仓储和邮政业,1642
201705,交通运输、仓储和邮政业,1596
201704,交通运输、仓储和邮政业,1470
201703,交通运输、仓储和邮政业,1807
201702,交通运输、仓储和邮政业,912
201701,交通运输、仓储和邮政业,948
201612,交通运输、仓储和邮政业,1357
201611,交通运输、仓储和邮政业,1296
201610,交通运输、仓储和邮政业,988
201609,交通运输、仓储和邮政业,1332
201608,交通运输、仓储和邮政业,1491
201607,交通运输、仓储和邮政业,1352
201606,交通运输、仓储和邮政业,1542
201605,交通运输、仓储和邮政业,1526
201604,交通运输、仓储和邮政业,1347
201603,交通运输、仓储和邮政业,1476
201602,交通运输、仓储和邮政业,476
201601,交通运输、仓储和邮政业,1051
201512,交通运输、仓储和邮政业,1397
201511,交通运输、仓储和邮政业,1288
201510,交通运输、仓储和邮政业,850
201509,交通运输、仓储和邮政业,1026
201508,交通运输、仓储和邮政业,1101
201507,交通运输、仓储和邮政业,1358
201506,交通运输、仓储和邮政业,1159
201505,交通运输、仓储和邮政业,1250
201504,交通运输、仓储和邮政业,1333
201503,交通运输、仓储和邮政业,1048
201502,交通运输、仓储和邮政业,580
201501,交通运输、仓储和邮政业,1076
201412,交通运输、仓储和邮政业,1166
201411,交通运输、仓储和邮政业,952
201410,交通运输、仓储和邮政业,787
201409,交通运输、仓储和邮政业,937
201408,交通运输、仓储和邮政业,1010
201407,交通运输、仓储和邮政业,1134
201406,交通运输、仓储和邮政业,1122
201405,交通运输、仓储和邮政业,1000
201404,交通运输、仓储和邮政业,995
201403,交通运输、仓储和邮政业,963
201402,交通运输、仓储和邮政业,447
