月份,行业,新增数量
201508,其他,
201507,其他,
201506,其他,
201505,其他,
201504,其他,
201503,其他,
201502,其他,
201501,其他,
201412,其他,
201411,其他,
201410,其他,
201409,其他,
201408,其他,
201407,其他,
201406,其他,
201405,其他,
201404,其他,
201403,其他,
201402,其他,
201401,其他,
201312,其他,
201311,其他,
201310,其他,
201309,其他,
201308,其他,
201307,其他,
201306,其他,
201305,其他,
201304,其他,
201303,其他,
201302,其他,
201301,其他,
201212,其他,
201211,其他,
201210,其他,
201209,其他,
201208,其他,
201207,其他,
201206,其他,
201205,其他,
201204,其他,
201203,其他,
201202,其他,
201201,其他,
201112,其他,
201111,其他,
201110,其他,
201109,其他,
201108,其他,
201107,其他,
201106,其他,
201105,其他,
201104,其他,
201103,其他,
201102,其他,
201101,其他,
201012,其他,
201011,其他,
201010,其他,
201009,其他,
201008,其他,
201007,其他,
201006,其他,
201005,其他,
201004,其他,
201003,其他,
201002,其他,
201001,其他,
